categoria,codigo,nombre,descripcion
EC,CAMIPC2,"IMOU CUE IPC-C22EP",""
EC,CAMBUL2,"IMOU BULLET-2C IPC-F22P-0280B",""
EC,CAMRAN2,"IMOU RANGER IPC-TA22CP-B",""
EC,ALAMCR1,"IMOU ALARMA CONTROL REMOTO",""
EC,ALAP311,"IMOU ALARMA PUERTA ARD311-SW",""
EC,ALASEN1,"IMOU ALARMA SENSOR MOVIMIENTO",""
EC,ALASI10,"IMOU ALARMA SIRENA ARA10-SW",""
EC,ALA200E,"IMOU ESTACION ALARMA ARC2000E",""
EC,DECOHD,"Pack Deco HD",""
EC,I020136,"ONU EPON WK2802 - WIFI/TV C/L IMPORTADO","ART-GO - C/LOGO"
EC,N020136,"ONU EPON WK2802- WIFI/TV C/L NACIONAL","ART-GO - C/LOGO"
EC,I020169,"SET TOP BOX DVBCHD008-H265-ERI IMPORTADO","WIFI - DONGLE - ART-GO"
EC,N020169,"SET TOP BOX DVBCHD008-H265-ERI  NACIONAL","WIFI - DONGLE - ART-GO"
EC,N020098,"TARJETAS SMART ART-GO NACIONAL",""
EC,I020098,"TARJETAS SMART ART-GO IMPORTADO",""
EC,I040322,"BOTELLA/DOMO EMPALME 12 PELOS IMPORTADO",""
EC,N040322,"BOTELLA/DOMO EMPALME 12 PELOS NACIONAL",""
EC,N040090,"BOTELLA/DOMO EMPALME 144 PELOS NACIONAL",""
EC,I040090,"BOTELLA/DOMO EMPALME 144 PELOS IMPORTADO",""
EC,I040087,"BOTELLA/DOMO EMPALME 24 PELOS IMPORTADO",""
EC,N040087,"BOTELLA/DOMO EMPALME 24 PELOS NACIONAL",""
EC,N040088,"BOTELLA/DOMO EMPALME 48 PELOS NACIONAL",""
EC,I040088,"BOTELLA/DOMO EMPALME 48 PELOS IMPORTADO",""
EC,N020155,"ACCESS POINT EAP380-E DCN NACIONAL",""
EC,I010233,"PANEL WIFI WL8200-I2-R2 IMPORTADO","INDOOR - DCN"
EC,N010233,"PANEL WIFI WL8200-I2-R2 NACIONAL","INDOOR"
EC,I010234,"PANEL WIFI WL8200-IT3 IMPORTADO","OUTDOOR - DCN"
EC,N010234,"PANEL WIFI WL8200-IT3 NACIONAL","OUTDOOR"
EC,I020209,"ONU EPON WK3802CW - WIFI/TV IMPORTADO","ART-GO - S/LOGO"
EC,I020193,"ONU EPON WK3802CW - WIFI/TV C/L IMPORTADO","ART-GO - C/LOGO"
EC,N020193,"ONU EPON WK3802CW - WIFI/TV C/L NACIONAL","ART-GO - C/LOGO"
EC,N020209,"ONU EPON WK3802CW - WIFI/TV NACIONAL","ART-GO - S/LOGO"
EC,N020114,"ROUTER RB760 5P C/FUENTE NACIONAL",""
EC,I010085,"ROUTER MIKROTICK CRS212 IMPORTADO",""
EC,N010085,"ROUTER MIKROTICK CRS212 NACIONAL",""
EC,N010098,"ROUTER MIKROTIK RB2011UIAS NACIONAL","1 SFP"
EC,I010210,"ROUTER SW CRS317-1G-16S+RM IMPORTADO","MIKROTIK"
EC,N010210,"ROUTER SW CRS317-1G-16S+RM NACIONAL","MIKROTIK"
EC,I010331,"ROUTER CCR-1072 1G-8S+ IMPORTADO","MIKROTIK"
EC,N010331,"ROUTER CCR-1072 1G-8S+ NACIONAL","MIKROTIK"
EC,I010347,"SWITCH 8-PORT-SMART JETSTREAM IMPORTADO",""
EC,N010347,"SWITCH 8-PORT-SMART JETSTREAM NACIONAL",""
EC,N010360,"ROUTER CCR-1036 8G-2S S/CABLE NACIONAL","MIKROTICK"
EC,I010360,"ROUTER CCR-1036 8G-2S S/CABLE IMPORTADO","MIKROTICK"
EC,I010364,"NVD0905DH-4I-4K -DECODIFICADOR IMPORTADO","DAHUA"
EC,N010364,"NVD0905DH-4I-4K -DECODIFICADOR NACIONAL",""
EC,I010377,"PANEL WIFI WL8200-WH2 IMPORTADO","DCN INDOOR"
EC,I010378,"PANEL WIFI WL8200-WH2 IMPORTADO","48V (plug y POE 0.22A) Acceso gigabit por cable e inalámbrico2 p.de enlace ascendente gigabit. Puerto PSE p/alim.	4 puertos de enlace descendente gigabit.	2.4/5 G"
EC,I020041,"ONU EPON TV/WIFI 4 RJ45  KINGTYPE IMPORTADO","KINGTYPE"
EC,N020041,"ONU EPON TV/WIFI 4 RJ45 KINGTYPE NACIONAL","KINGTYPE"
EC,DH-IPC-HFW5442EP-ZE-2712,"Cámaras Fijas","DH-IPC-HFW5442EP-ZE-2712"
EC,DH-SD50232-HC-LA,"Cámaras Domo","DH-SD50232-HC-LA"
EC,PFA121,"Accesorio Cámara Fija 2","PFA121"
EC,DH-PFA150-V2,"Accesorio Cámara Domo","DH-PFA150-V2"
EC,DH MPT220,"Body Cam","DH-MPT220"
EC,I020168,"ONU XPON DUAL BAND 5G IMPORTADO","WK"
EC,N020168,"ONU XPON DUAL BAND 5G NACIONAL",""
EC,N020048,"ONU SOLO WIFI NACIONAL","KINGTYPE"
EC,I020080,"ONU 100 - IMPORT 2801 IMPORTADO","CK WOLK"
EC,N020080,"ONU 100 - IMPORT 2801 SIN WIFI",""
EC,I020082,"ONU EPON WIFI/TV/TEL. IMPORTADO","ART-GO"
EC,N020082,"ONU EPON WIFI/TV/TEL. NACIONAL","ART-GO"
EC,N020095,"ROUTER HAP-LITE S/FUENTE NACIONAL","MIKROTIK"
EC,I020147,"SET TOP BOX THS-9100X -H265 IMPORTADO","ART-GO"
EC,N020147,"SET TOP BOX THS-9100X -H265 NACIONAL",""
EC,I020148,"ONU G/EPON -3801- WIFI IMPORTADO","WK"
EC,N020148,"ONU G/EPON -3801- WIFI NACIONAL","WK"
EC,N020159,"ONU G/EPON -2801 WIFI -1 ANTENA","1 ANTENA -WK"
EC,N020160,"ONU G/EPON -2801 WIFI - 2 ANTENAS","2 ANTENA -WK"
EC,I020161,"SET TOP BOX- DCR-860J-QUAM IMPORTADO","ART-GO"
EC,N020162,"RECEPTOR WELLAV SET TOP BOX NACIONAL",""
EC,I020171,"FUENTE 12 V- 2A P/DOMO WIFIIMPORTADO",""
EC,N020171,"FUENTE 12 V- 2A P/DOMO WIFI NACIONAL",""
EC,N020180,"CABLE MODEM MOTO MB7220 NACIONAL","DOCSIS 3.0"
EC,N020181,"CABLE MODEM MOTO N300-MG7310 NACIONAL","DOCSIS 3.0- ROUTER"
EC,I020185,"SET TOP BOX DVBCHD008-H265 IMPORTADO","WIFI-DONGLE ART-GO"
EC,N020184,"ONU EPON WK2802 - WIFI/TV NACIONAL","ART-GO - C/LOGO"
EC,I020187,"SET TOP BOX IPTV- 16G 2GB IMPORTADO","MUESTRA"
EC,I020189,"SET TOP BOX IPTV- 64G 4GB IMPORTADO","MUESTRA"
EC,I020190,"SET TOP BOX IPTV- 128G 4GB IMPORTADO","MUESTRA"
EC,I020191,"CABLE CAMARA AUTO MC-PF3-B3-4 IMPORTADO",""
EC,N040174,"SOPORTE P/CAMARA - ADAPT. DS-1275ZJ",""
EC,I040174,"SOPORTE P/CAMARA -ADAPT COLUMN IMPORTADO",""
EC,N040189,"CAMARA IP DS-2CD6924F-IS NACIONAL",""
EC,I040189,"CAMARA IP DS-2CD6924F-IS IMPORTADO",""
EC,N040290,"CAMARA IP DOMO DH-SD60230U-HNI NACIONAL",""
EC,I040290,"CAMARA IP DOMO DH-SD60230U-HNI IMPORTADO",""
EC,I040291,"CAMARA IP DH IPC-HFW5830EP-Z IMPORTADO",""
EC,N040291,"CAMARA IP DH IPC-HFW5830EP-Z NACIONAL",""
EC,N040295,"CAMARA IPC-HFW8231EP-Z NACIONAL",""
EC,I040295,"CAMARA IPC-HFW8231EP-Z IMPORTADO",""
EC,N040297,"CAMARA MINI-DOM IP-D1B20PL0280 NACIONAL",""
EC,I040297,"CAMARA MINI-DOM IP-D1B20PL0280 IMPORTADO",""
EC,N040300,"TAPA P/CAMARA 60x40cm NACIONAL",""
EC,I040300,"TAPA P/CAMARA 60x40cm IMPORTADO",""
EC,N040313,"CAMARA MINI P/MOVIL HDBW4231F NACIONAL",""
EC,I040313,"CAMARA MINI P/MOVIL HDBW4231F IMPORTADO",""
EC,I040314,"CAMARA MINI P/MOVIL MBW4431P IMPORTADO",""
EC,N040314,"CAMARA MINI P/MOVIL MBW4431P NACIONAL",""
EC,N040316,"CAMARA BULLET EZ-IPC-B2B40P-ZS NACIONAL",""
EC,I040316,"CAMARA BULLET EZ-IPC-B2B40P-ZS IMPORTADO",""
EC,N040317,"CAMARA BULLET IPC-HFW5831EP-ZE NACIONAL",""
EC,I040317,"CAMARA BULLET IPC-HFW5831EP-ZE IMPORTADO",""
EC,I020192,"NVR AUTODHI-MNVR4104-GFW IMPORTADO","4 CHANNEL- DAHUA"
EC,N020192,"NVR AUTODHI-MNVR4104-GFW NACIONAL","4 CHANNEL- DAHUA"
EC,I020194,"ONU POE 8 PUERTO - OUTDOOR IMPORTADO","WOLK"
EC,N020194,"ONU POE 8 PUERTO - OUTDOOR NACIONAL","WOLK"
EC,I020204,"ONU XPON DCEG162-C-300 SINGLE BAND IMPORTADO","DCN 2ANT.2RJ45"
EC,N020204,"ONU XPON DCEG162-C-300 SINGLE BAND NACIONAL","DCN 2ANT.2RJ45"
EC,N020205,"ONU XPON DCEG164-VC1200 1-USB DUAL BAND NACIONAL","DCN 4-ANT4-RJ45"
EC,I020205,"ONU XPON DCEG164-VC1200 1-USB DUAL BANDIMPORTADO","DCN 4-ANT4-RJ45"
EC,N040319,"CAMARA DOMO PTZ DH-SD50230U NACIONAL",""
EC,I040319,"CAMARA DOMO PTZ DH-SD50230U IMPORTADO",""
EC,I040321,"CAMARA DOMO WIFI HDBW1435EP IMPORTADO",""
EC,N040331,"CAMARA DOMO PTZ DH-SD8A840WA NACIONAL",""
EC,I040331,"CAMARA DOMO PTZ DH-SD8A840WA IMPORTADO",""
