"codigo","cat","nombre","stock","uni","estado"
"N080095","#REV-TAN","EXT. CABLE MCNU-GXF4-GXM4-6 NACIONAL","5546","UNI","ACTIVO"
"N040139","#REV-TAN","TAPON SEGURIDAD 75 OHM NACIONAL","5086","UNI","ACTIVO"
"N040311","#REV-TAN","BITUBO x Mts NACIONAL","4250","UNI","ACTIVO"
"N040305","#REV-TAN","MONOTUBO x Mts. NACIONAL","3064","UNI","ACTIVO"
"N020518","#REV-TAN","JUNUO TV STICK","2174","UNI","ACTIVO"
"N080093","#REV-TAN","BOTON ANTIPANICO RC978 NACIONAL","1161","UNI","ACTIVO"
"N080094","#REV-TAN","MICROF. M869 NACIONAL","1152","UNI","ACTIVO"
"N080088","#REV-TAN","CABLE MC-PF3-B3-4 NACIONAL","1114","UNI","ACTIVO"
"N080087","#REV-TAN","GRAB. DHI-DAE-MXVR4104/4204-GFWI NACIONAL","1086","UNI","ACTIVO"
"N080096","#REV-TAN","EXT. CABLE MCNU-GXF4-GMX4-18 NACIONAL","1076","UNI","ACTIVO"
"RCA","#REV-TAN","CABLE RCA A PLUGIN DE 3,5","838","UNI","ACTIVO"
"N020199","#REV-TAN","FILTRO PASA ALTOS - HPF-54 NACIONAL","816","UNI","ACTIVO"
"n020044","#REV-TAN","MINI CUPLER 12DB NACIONAL","734","UNI","ACTIVO"
"N010287","#REV-TAN","SLOT BOX VACIO 1:8 NACIONAL","666","UNI","ACTIVO"
"I010287","#REV-TAN","SLOT BOX VACIO 1:8 IMPORTADO","494","UNI","ACTIVO"
"N020458","#REV-TAN","CABLE HDMI ","488","UNI","ACTIVO"
"N081139","#REV-TAN","CAPACITOR","426","UNI","ACTIVO"
"N020212","#REV-TAN","CABLE TPR 2x1,5 NACIONAL","409","UNI","ACTIVO"
"N040062","#REV-TAN","CABLE .500 CON PORTANTE NACIONAL","371","UNI","ACTIVO"
"N080846","#REV-TAN","FOLIO A4","309","UNI","ACTIVO"
"N040147","#REV-TAN","ADAPTADORES SC/PC NACIONAL","264","UNI","ACTIVO"
"N040524","#REV-TAN","TORNIQUETE DOBLE","260","UNI","ACTIVO"
"N0450423","#REV-TAN","AISLADOR ","257","UNI","ACTIVO"
"N080845","#REV-TAN","FOLIO OFICIO","250","UNI","ACTIVO"
"N080847","#REV-TAN","SOBRE OFICIO INGLES","200","UNI","ACTIVO"
"N020546","#REV-TAN","CABLE TPR 2x 1mm NACIONAL","197","UNI","ACTIVO"
"N081073","#REV-TAN","BARBIJO DESCARTABLES","189","UNI","ACTIVO"
"N040302","#REV-TAN","PRENSACABLE 3/16 METAL NACIONAL","180","UNI","ACTIVO"
"N040523","#REV-TAN","TORNIQUETE NÂº 7","174","UNI","ACTIVO"
"N081058","#REV-TAN","CIRCUITO INTEGRADO","168","UNI","ACTIVO"
"N050107","#REV-TAN","LAPICERAS","156","UNI","ACTIVO"
"N081105","#REV-TAN","CARPETA","144","UNI","ACTIVO"
"N081095","#REV-TAN","BROCHES","141","UNI","ACTIVO"
"N040186","#REV-TAN","NODO OPTICO 4 SALIDA - 862Mhz NACIONAL","136","UNI","ACTIVO"
"N080888","#REV-TAN","TIRAFONDO NÂ°10","123","UNI","ACTIVO"
"N020043","#REV-TAN","MINI CUPLER 9DB NACIONAL","122","UNI","ACTIVO"
"N081102","#REV-TAN","SOBRE","117","UNI","ACTIVO"
"N020525","#REV-TAN","FILTRO PASABANDA LTE DE UHF","113","UNI","ACTIVO"
"N020183","#REV-TAN","CABLE INTERLOCK P/C.M. DPQ3925 NACIONAL","112","UNI","ACTIVO"
"N080988","#REV-TAN","RESMAS","111","UNI","ACTIVO"
"N020522","#REV-TAN","MASTIL DE 2 MTS","110","UNI","ACTIVO"
"RCA1","#REV-TAN","CABLE RCA A RCA","104","UNI","ACTIVO"
"N020306","#REV-TAN","PITON NÂº6 NACIONAL","104","UNI","ACTIVO"
"N080841","#REV-TAN","MARCADOR RESALTADOR","102","UNI","ACTIVO"
"N081154","#REV-TAN","CABLE TPR 3x1,5mm","100","UNI","ACTIVO"
"N081111","#REV-TAN","BROCHE NEPACO","100","UNI","ACTIVO"
"N080086","#REV-TAN","BODYCAM  DH-MPT220 NACIONAL","95","UNI","ACTIVO"
"040044","#REV-TAN","Ecualizador de Linea 9db","88","UNI","ACTIVO"
"N081096","#REV-TAN","ARTICULO C/DESCRIPCION EN PARTIDA","82","UNI","ACTIVO"
"N040034","#REV-TAN","INSERTOR DE POTENCIA 60/90V - NACIONAL","76","UNI","ACTIVO"
"N081214","#REV-TAN","CABLE TPR","75,5","UNI","ACTIVO"
"N040207","#REV-TAN","AISLADOR MN-20 (202032) NACIONAL","75","UNI","ACTIVO"
"N040330","#REV-TAN","ECUALIZADOR DE LINEA 09DB NACIONAL","73","UNI","ACTIVO"
"N040522","#REV-TAN","TORNIQUETE NÂº 3","73","UNI","ACTIVO"
"N040148","#REV-TAN","TAPON CARGA 75 OHM - NACIONAL","68","UNI","ACTIVO"
"N062262","#REV-TAN","PEN DRIVE 16 GB","66","UNI","ACTIVO"
"N080958","#REV-TAN","TERMINAL PALA P/CABLE","65","UNI","ACTIVO"
"N030039","#REV-TAN","PASTECA SIMPLE NACIONAL","63","UNI","ACTIVO"
"N060003","#REV-TAN","CABLE INTERLOCK NEGRO NACIONAL","60","UNI","ACTIVO"
"N081236","#REV-TAN","FUSIBLE","60","UNI","ACTIVO"
"N040325","#REV-TAN","ECUALIZADOR DE LINEA 11DB NACIONAL","59","UNI","ACTIVO"
"N080842","#REV-TAN","MARCADOR AL AGUA","53","UNI","ACTIVO"
"N081115","#REV-TAN","TINTA P/SELLOS","52","UNI","ACTIVO"
"N081109","#REV-TAN","CARBONICO","52","UNI","ACTIVO"
"N081092","#REV-TAN","CLIP","51","UNI","ACTIVO"
"N010246","#REV-TAN","CABLE DE SERVICIO x15mts NACIONAL","50","UNI","ACTIVO"
"N080957","#REV-TAN","BOTIN DE SEGURIDAD (PAR)","48","UNI","ACTIVO"
"N020521","#REV-TAN","MICRONODO OPTICO PR7332C","46","UNI","ACTIVO"
"N081055","#REV-TAN","CABLE VGA","44","UNI","ACTIVO"
"N030102","#REV-TAN","MARCADOR AL ACEITE PUNTA REDONDA COLOR BLANCO","41","UNI","ACTIVO"
"N080859","#REV-TAN","CAJA ARCHIVO OFICIO/LEGAL","40","UNI","ACTIVO"
"N040253","#REV-TAN","GRILLETE-GUARDACABO NACIONAL","40","UNI","ACTIVO"
"N081140","#REV-TAN","DIODO","40","UNI","ACTIVO"
"N010433","#REV-TAN","MODULO DE MONITOREO TA8604JL-R","40","UNI","ACTIVO"
"N040548","#REV-TAN","MODULO CON DESCRIPCIÃ“N EN PARTIDA","36","UNI","ACTIVO"
"N040213","#REV-TAN","LAMPARA LED P/CALLE NACIONAL","35","UNI","ACTIVO"
"N030101","#REV-TAN","MARCADOR AL ACEITE PUNTA REDONDA COLOR NEGRO","34","UNI","ACTIVO"
"N081030","#REV-TAN","TIRAFONDO","33,04","UNI","ACTIVO"
"N080848","#REV-TAN","LAPIZ NEGRO","33","UNI","ACTIVO"
"N030335","#REV-TAN","CONVERTIDOR DE OXIDO","31","UNI","ACTIVO"
"N080840","#REV-TAN","CUADERNO CHICO","31","UNI","ACTIVO"
"N020554","#REV-TAN","AISLANTE P/CAÃ‘O DE COBRE","30,5","UNI","ACTIVO"
"N020529","#REV-TAN","MASTIL DE 3 MTS","30","UNI","ACTIVO"
"N080959","#REV-TAN","TERMINAL OJAL P/CABLE","30","UNI","ACTIVO"
"N081132","#REV-TAN","CAÃ‘O","30","UNI","ACTIVO"
"N081101","#REV-TAN","MEDIA SOMBRA","30","UNI","ACTIVO"
"N020552","#REV-TAN","MANGUERA","28,5","UNI","ACTIVO"
"N080985","#REV-TAN","BIBLIORATO","28","UNI","ACTIVO"
"N081046","#REV-TAN","PINTURA","27,6","UNI","ACTIVO"
"N081071","#REV-TAN","ELEMENTO DE AMARRE CODIGO 1015","27","UNI","ACTIVO"
"N081090","#REV-TAN","TERMINAL OJAL GRANDE P/CABLE","26","UNI","ACTIVO"
"N020470","#REV-TAN","ADAPT. ENCHUFE MIX A REDONDO","25","UNI","ACTIVO"
"N080839","#REV-TAN","CUADERNO GRANDE","25","UNI","ACTIVO"
"N080101","#REV-TAN","ELECTRODO 2,5mm P/SOLDAR - PUNTA AZUL","25","UNI","ACTIVO"
"N080922","#REV-TAN","MANGUERA  Â½""","25","UNI","ACTIVO"
"N040187","#REV-TAN","AMPLIFIC. DE LINEA 550 C/RETOR","23","UNI","ACTIVO"
"N080984","#REV-TAN","RECIBOS USARES 1825 CARBONICO QUIMICO","22","UNI","ACTIVO"
"N020501","#REV-TAN","DECODER IDS","22","UNI","ACTIVO"
"FUENTES","#REV-TAN","FUENTES DOCSIS","22","UNI","ACTIVO"
"N080843","#REV-TAN","MARCADOR INDELEBLE","22","UNI","ACTIVO"
"090301","#REV-TAN","EQUIPOS CELULARES","21","UNI","ACTIVO"
"N081141","#REV-TAN","MOSFET IRF840","20","UNI","ACTIVO"
"N080850","#REV-TAN","BROCHES 10/50","20","UNI","ACTIVO"
"N081235","#REV-TAN","BORNERA","20","UNI","ACTIVO"
"N080965","#REV-TAN","MATAFUEGOS","19","UNI","ACTIVO"
"N010718","#REV-TAN","CABLE DE SERVICIO x8mts NACIONAL","19","UNI","ACTIVO"
"N081126","#REV-TAN","ROLLO PAPEL P/FAX","18","UNI","ACTIVO"
"N010365","#REV-TAN","NVR2204-P-I NACIONAL","18","UNI","ACTIVO"
"N081196","#REV-TAN","JABALINA PUESTA TIERRA","17","UNI","ACTIVO"
"090006","#REV-TAN","Parlante p/PC","17","UNI","ACTIVO"
"N040241","#REV-TAN","AMPLIFIC. DE LINEA VA-860 NACIONAL","16","UNI","ACTIVO"
"030177","#REV-TAN","GAS BUTANO REPUESTO P/SOPLETE","16","UNI","ACTIVO"
"090313","#REV-TAN","ALICATE DE CORTE OBLICUO 6""","16","UNI","ACTIVO"
"N081220","#REV-TAN","KEROSENE","15","UNI","ACTIVO"
"090310","#REV-TAN","ALICATE DE CORTE OBLICUO","15","UNI","ACTIVO"
"N020182","#REV-TAN","ADAPT. ENCHUFE MIX A OBLICUO NACIONAL","15","UNI","ACTIVO"
"030145","#REV-TAN","CONO SEGURIDAD VIAL","15","UNI","ACTIVO"
"N080975","#REV-TAN","FUSIBLE 10 Amp.","15","UNI","ACTIVO"
"N040521","#REV-TAN","ECUALIZADOR DE LINEA 20DB NACIONAL","15","UNI","ACTIVO"
"N060222","#REV-TAN","COOLER P/PC","15","UNI","ACTIVO"
"N040155","#REV-TAN","TORNIQUETE NÂº5 ZINCADO","15","UNI","ACTIVO"
"N010075","#REV-TAN","WDM MULTIPLEX OPTICO 1310/1490 NACIONAL","14","UNI","ACTIVO"
"N080940","#REV-TAN","FILM STRETCH SIN CONO","14","UNI","ACTIVO"
"N020504","#REV-TAN","DECODER INTEK HD CABLE C/ AV HDM ","14","UNI","ACTIVO"
"N080844","#REV-TAN","MARCADOR PARA PIZZARRA","14","UNI","ACTIVO"
"N020409","#REV-TAN","FILTRO PASA ALTOS PCT-HPFA-102","14","UNI","ACTIVO"
"N081093","#REV-TAN","ALAMBRE 12","13,015","UNI","ACTIVO"
"N030182","#REV-TAN","MORDAZA TIPO PEINE UNIVERSAL","13","UNI","ACTIVO"
"N080108","#REV-TAN","GAFAS OSCURAS DE SEGURIDAD","13","UNI","ACTIVO"
"N081066","#REV-TAN","ELEMENTO DE AMARRE ANTICAIDA 3008/2","13","UNI","ACTIVO"
"N081104","#REV-TAN","MINA LAPIZ","13","UNI","ACTIVO"
"N030204","#REV-TAN","REPUESTO FILO CUTTER 18mm","13","UNI","ACTIVO"
"090201","#REV-TAN","Sillas","13","UNI","ACTIVO"
"N081184","#REV-TAN","CUTER TRINCHETA","13","UNI","ACTIVO"
"030148","#REV-TAN","CUTTER TRAPEZOIDAL 19mm","12","UNI","ACTIVO"
"N081074","#REV-TAN","AEROSOL PINTURA AZUL 440 CM.TERSUAVEÂ ","12","UNI","ACTIVO"
"N090108","#REV-TAN","Sillas de oficina","12","UNI","ACTIVO"
