teamplaceCodigo,nombre,destino,skuAnterior,skuNuevo
"N080095","EXT. CABLE MCNU-GXF4-GXM4-6 NACIONAL",#SEG-MOV,#REV-TAN-0248,#SEG-MOV-0001
"N080093","BOTON ANTIPANICO RC978 NACIONAL",#SEG-MOV,#REV-TAN-0057,#SEG-MOV-0002
"N080094","MICROF. M869 NACIONAL",#SEG-MOV,#REV-TAN-0380,#SEG-MOV-0003
"N080088","CABLE MC-PF3-B3-4 NACIONAL",#SEG-MOV,#REV-TAN-0090,#SEG-MOV-0004
"N080087","GRAB. DHI-DAE-MXVR4104/4204-GFWI NACIONAL",#SEG-MOV,#REV-TAN-0287,#SEG-MOV-0005
"N080096","EXT. CABLE MCNU-GXF4-GMX4-18 NACIONAL",#SEG-MOV,#REV-TAN-0245,#SEG-MOV-0006
"I080096","EXT. CABLE MCNU-GXF4-GMX4-18",#SEG-MOV,#REV-TAN-0244,#SEG-MOV-0007
"I080087","GRAB. DHI-DAE-MXVR4104/4204-GFWI IMPORTADO",#SEG-MOV,#REV-TAN-0285,#SEG-MOV-0008
"N080086","BODYCAM  DH-MPT220 NACIONAL",#SEG-MOV,#REV-TAN-0045,#SEG-MOV-0009
"N080918","MPT320 TERMINAL MOVIL",#SEG-MOV,#REV-TAN-0401,#SEG-MOV-0010
"N080909","DHM-MAE-D200 BASE ACOPLAMIENTO",#SEG-MOV,#REV-TAN-0209,#SEG-MOV-0011
"N080917","MP06 INTERCOMUNICADOR 2 VIAS",#SEG-MOV,#REV-TAN-0400,#SEG-MOV-0012
"N081191","FUNDA CAPUCHON P/MICROFONO",#SEG-MOV,#REV-TAN-0270,#SEG-MOV-0013
"N060103","CONTROL ACCE. DHI-ASI3213G-MW NACIONAL",#SEG-ACC,#REV-TAN-0162,#SEG-ACC-0001
"N060102","CONTROL ACCE. DHI-ASI7213Y-V3 NACIONAL",#SEG-ACC,#REV-TAN-0164,#SEG-ACC-0002
"N060073","CONTROL ACCESO DHIASA4214F NACIONAL",#SEG-ACC,#REV-TAN-0169,#SEG-ACC-0003
"N060227","CONTROL ACCESO - HUELLA DIGITAL",#SEG-ACC,#REV-TAN-0165,#SEG-ACC-0004
"N090105","LECTOR DE HUELLA DIGITAL",#SEG-ACC,#REV-TAN-0343,#SEG-ACC-0005
"N080104","RELOJ BIOMETRICO ANVIZ",#SEG-ACC,#REV-TAN-0515,#SEG-ACC-0006
"N080097","PULSADOR PUERTA SALDIDA T60B - NACIONAL",#SEG-ACC,#REV-TAN-0498,#SEG-ACC-0007
"N080050","CAJA SEGURIDAD P/EMPOTRAR NACIONAL",#SEG-ACC,#REV-TAN-0113,#SEG-ACC-0008
