# Clasificación MANUAL de los 347 artículos de #REV-TAN que tienen stock.
# Formato:  CODIGO_TEAMPLACE | SKU_DESTINO | nombre (solo referencia)
# Los campos se trimean. Líneas vacías y las que empiezan con "#" se ignoran.
# Lo usa scripts/clasificar-rev-tan.ts  ->  npm run clasif:347 [-- --apply]

# ── Videovigilancia móvil (línea Dahua vehicular / bodycam) ────────────────
N080095  | #SEG-MOV | EXT. CABLE MCNU-GXF4-GXM4-6 NACIONAL
N080093  | #SEG-MOV | BOTON ANTIPANICO RC978 NACIONAL
N080094  | #SEG-MOV | MICROF. M869 NACIONAL
N080088  | #SEG-MOV | CABLE MC-PF3-B3-4 NACIONAL
N080087  | #SEG-MOV | GRAB. DHI-DAE-MXVR4104/4204-GFWI NACIONAL
N080096  | #SEG-MOV | EXT. CABLE MCNU-GXF4-GMX4-18 NACIONAL
I080096  | #SEG-MOV | EXT. CABLE MCNU-GXF4-GMX4-18 IMPORTADO
I080087  | #SEG-MOV | GRAB. DHI-DAE-MXVR4104/4204-GFWI IMPORTADO
N080086  | #SEG-MOV | BODYCAM DH-MPT220 NACIONAL
N080918  | #SEG-MOV | MPT320 TERMINAL MOVIL
N080909  | #SEG-MOV | DHM-MAE-D200 BASE ACOPLAMIENTO
N080917  | #SEG-MOV | MP06 INTERCOMUNICADOR 2 VIAS
N081191  | #SEG-MOV | FUNDA CAPUCHON P/MICROFONO

# ── Control de acceso / seguridad física ──────────────────────────────────
N060103  | #SEG-ACC | CONTROL ACCE. DHI-ASI3213G-MW NACIONAL
N060102  | #SEG-ACC | CONTROL ACCE. DHI-ASI7213Y-V3 NACIONAL
N060073  | #SEG-ACC | CONTROL ACCESO DHIASA4214F NACIONAL
N060227  | #SEG-ACC | CONTROL ACCESO - HUELLA DIGITAL
N090105  | #SEG-ACC | LECTOR DE HUELLA DIGITAL
N080104  | #SEG-ACC | RELOJ BIOMETRICO ANVIZ
N080097  | #SEG-ACC | PULSADOR PUERTA SALDIDA T60B - NACIONAL
N080050  | #SEG-ACC | CAJA SEGURIDAD P/EMPOTRAR NACIONAL
N080901  | #SEG-ACC | CANDADO GRANDE
N010690  | #SEG-ACC | Intercomunicador DHI-VTT201
N080911  | #SEG-ACC | KIT VIDEO INTERCOM DHI-KTP01 (F)

# ── Monitores y videowall (sala de control) ───────────────────────────────
N060092  | #SEG-VW  | LCD DHI-LS460UCM-EF -46" NACIONAL
N060079  | #SEG-VW  | LCD DHI-LS490UCM-EF 49" NACIONAL
N080912  | #SEG-VW  | LCD DHL-FJ ACCESORIOS LCD VIDEOWALL
N080913  | #SEG-VW  | LS-E-L BARRA P/VIDEWALL

# ── Grabadores NVR (familia existente) ────────────────────────────────────
N010365  | #SEG-NVR | NVR2204-P-I NACIONAL
N010368  | #SEG-NVR | NVR2208-8P-I NACIONAL
