id,teamplaceCodigo,nombre,tipo,skuAnterior,skuNuevo
cmsg5983n00r967qsp6gexr93,"REINSTALACION","COSTO REINSTALACION",INTANGIBLE,#REV-0143,#REV-INT-0001
cmsg598bz00w367qslpf3jf6t,"3814110750","3814110750 AccesoToncal IP",INTANGIBLE,#REV-0218,#REV-INT-0002
cmsg598bz00vm67qsxpi0z1md,"440509","440509:342578 Central Acceso Extremo Adicionales",INTANGIBLE,#REV-0206,#REV-INT-0003
cmsg598c200zx67qskf7nrsu4,"N050105","ABROCHADORA",TANGIBLE,#REV-0251,#REV-TAN-0001
cmsg5995l021u67qs7wh5zk64,"ACCIONES","ACCIONES CON COTIZACION",INTANGIBLE,#REV-0727,#REV-INT-0004
cmsg5995l021j67qs6tdxmlsn,"N081213","ACEITE",TANGIBLE,#REV-0723,#REV-TAN-0002
cmsg5990c01wh67qsqefxrb50,"N081158","ACEITE EN AEROSOL",TANGIBLE,#REV-0663,#REV-TAN-0003
cmsg5990a01nn67qsilacmm5q,"CONTENIDO","ACTUALIZACION DE CONTENIDOS WEB",INTANGIBLE,#REV-0531,#REV-INT-0005
cmsg597ru00e067qs1sfctgpj,"N020182","ADAPT. ENCHUFE MIX A OBLICUO NACIONAL",TANGIBLE,#REV-0042,#REV-TAN-0004
cmsg5990901m767qsp97c2tsl,"N020470","ADAPT. ENCHUFE MIX A REDONDO",TANGIBLE,#REV-0507,#REV-TAN-0005
cmsg5983l00jr67qsyy32w4wa,"I040147","ADAPTADORES SC/PC IMPORTADO",TANGIBLE,#REV-0063,#REV-TAN-0006
cmsg5983l00js67qs2c2ydozt,"N040147","ADAPTADORES SC/PC NACIONAL",TANGIBLE,#REV-0064,#REV-TAN-0007
cmsg5990b01sf67qs8wi1f5xg,"N081074","AEROSOL PINTURA AZUL 440 CM.TERSUAVE",TANGIBLE,#REV-0597,#REV-TAN-0008
cmsg5990b01sg67qs4mje10af,"N081075","AEROSOL PINTURA BLANCA 440 CM.TERSUAVE",TANGIBLE,#REV-0598,#REV-TAN-0009
