# REGENERADO desde rev-clasificacion.csv (recuperación post-pérdida de DB).
# IDs (Producto.id) de #REV clasificados como INTANGIBLE. El resto de #REV -> TANGIBLE.
# Formato: <id>   # NOMBRE
cmsg5983n00r967qsp6gexr93   # COSTO REINSTALACION
cmsg598bz00w367qslpf3jf6t   # 3814110750 AccesoToncal IP
cmsg598bz00vm67qsxpi0z1md   # 440509:342578 Central Acceso Extremo Adicionales
cmsg5995l021u67qs7wh5zk64   # ACCIONES CON COTIZACION
cmsg5990a01nn67qsilacmm5q   # ACTUALIZACION DE CONTENIDOS WEB
cmsg5990901lx67qs7cshjlna   # ANTICIPOS AL PERSONAL
cmsg5995l021x67qsd7jbcxmm   # APLICACION TV
cmsg5995m023i67qs53u98vmk   # ARANCELES ACCIONES CON COTIZACION
cmsg5990a01mv67qsrg22xldv   # AREA PROTEGIDA
cmsg598m6017o67qswnf1m6dk   # ASISTENCIA
cmsg5990a01og67qsmbmvqfwq   # AVISOS PUBLICITARIOS
cmsg598bz00vj67qsqb23vj31   # Acceso Dinamico 282622359 - Capital Federal CPA
cmsg598bz00vl67qsvwxnu9g9   # Acceso Dinamico 282623796 - Cordoba CPA
cmsg598bz00vk67qsqr8zxqrj   # Acceso Dinamico 282623943 Rosario CPA
cmsg597rp001l67qsj292rav5   # Apertura de Puerto
cmsg598m6017n67qsteeopieh   # BIENES PERSONALES ACCIONES Y PARTICIPACION SOCIETARIA
cmsg598bz00vt67qskckzh0bn   # BLOQUE I
cmsg598bz00vu67qs4ipixfjf   # BLOQUE II
cmsg598bz00vv67qs59tqxsm4   # BLOQUE III
cmsg598bz00vw67qs3prhj7dt   # BLOQUE IV
cmsg598bz00vx67qs5useuze8   # BLOQUE V
cmsg5990a01nq67qscx8degwk   # BUSCADOR DE PROGRAMACION WEB
cmsg598bz00ul67qsgmurqymp   # CAMBIO DE EQUIPO
cmsg598bz00w267qspz19wjlx   # CANON ENACOM
cmsg5983m00qr67qsxirr3wot   # CAPITAL PRESTAMOS
cmsg5983n00r867qsf8x71bj9   # CERTIFICADO
cmsg5983n00rl67qs0vdu2lf9   # CISI
cmsg5983m00qc67qs7bul0180   # COM. BANCARIAS POR IMPORTACION
cmsg5983n00sb67qs040ap1do   # COMISIONES BANCARIAS GRAV
cmsg5983n00sc67qsx6ju3wqs   # COMISIONES BANCARIAS NO GRAV
cmsg598m701b567qsq8pkogi3   # COMISIONES COBRANZAS NO GRAVADAS
cmsg598m701aq67qsa2bou6hg   # COMISIONES POR COBRANZA
cmsg598bz00w567qsoxb7p0c6   # CONFIGURACION AP
cmsg598bz00vy67qsw7xm60xm   # CONVENIO / IIBB
cmsg5983m00qt67qsjjueaqs5   # Cargos Financieros
cmsg598bz00vz67qshgdaftkh   # Cargos Financieros Impositivo
cmsg598by00ty67qssc7dd8ia   # Cedula Azul
cmsg5990c01vn67qs53sqziqd   # Certificaciones Bces
cmsg598c200zk67qsn3bo8qit   # Cheque Rechazado
cmsg598by00tt67qsbzg37xpa   # Constataciones
cmsg598bz00w767qs87m7zq6t   # Costos no deducibles
